r,st,interconnect,transgrp,transreg,nercr,hurdlereg
p91,FL,eastern,SERTP,SERTP,SERC_SE,Southern_Co_Services_Inc
p94,GA,eastern,SERTP,SERTP,SERC_SE,Southern_Co_Services_Inc
p95,SC,eastern,SERTP,SERTP,SERC_E,Duke_Energy_Carolinas_LLC
p96,SC,eastern,SERTP,SERTP,SERC_E,South_Carolina_Electric_Gas_Co
p101,FL,eastern,FRCC,FRCC,SERC_F,Seminole_Electric_Coop_Inc
p102,FL,eastern,FRCC,FRCC,SERC_F,Florida_Power_and_Light
p129,VT,eastern,ISONE,ISONE,NPCC_NE,ISONE
p130,NH,eastern,ISONE,ISONE,NPCC_NE,ISONE
p131,MA,eastern,ISONE,ISONE,NPCC_NE,ISONE
p132,CT,eastern,ISONE,ISONE,NPCC_NE,ISONE
p133,RI,eastern,ISONE,ISONE,NPCC_NE,ISONE
p134,ME,eastern,ISONE,ISONE,NPCC_NE,ISONE
p10001,DE,eastern,PJM_East,PJM,PJM,PJM
p10003,DE,eastern,PJM_East,PJM,PJM,PJM
p10005,DE,eastern,PJM_East,PJM,PJM,PJM
p11001,MD,eastern,PJM_East,PJM,PJM,PJM
p17001,IL,eastern,MISO_Central,MISO,MISO,MISO
p17003,IL,eastern,MISO_Central,MISO,MISO,MISO
p17005,IL,eastern,MISO_Central,MISO,MISO,MISO
p17007,IL,eastern,PJM_West,PJM,PJM,PJM
p17009,IL,eastern,MISO_Central,MISO,MISO,MISO
p17011,IL,eastern,MISO_Central,MISO,MISO,MISO
p17013,IL,eastern,MISO_Central,MISO,MISO,MISO
p17015,IL,eastern,PJM_West,PJM,PJM,PJM
p17017,IL,eastern,MISO_Central,MISO,MISO,MISO
p17019,IL,eastern,MISO_Central,MISO,MISO,MISO
p17021,IL,eastern,MISO_Central,MISO,MISO,MISO
p17023,IL,eastern,MISO_Central,MISO,MISO,MISO
p17025,IL,eastern,MISO_Central,MISO,MISO,MISO
p17027,IL,eastern,MISO_Central,MISO,MISO,MISO
p17029,IL,eastern,MISO_Central,MISO,MISO,MISO
p17031,IL,eastern,PJM_West,PJM,PJM,PJM
p17033,IL,eastern,MISO_Central,MISO,MISO,MISO
p17035,IL,eastern,MISO_Central,MISO,MISO,MISO
p17037,IL,eastern,PJM_West,PJM,PJM,PJM
p17039,IL,eastern,MISO_Central,MISO,MISO,MISO
p17041,IL,eastern,MISO_Central,MISO,MISO,MISO
p17043,IL,eastern,PJM_West,PJM,PJM,PJM
p17045,IL,eastern,MISO_Central,MISO,MISO,MISO
p17047,IL,eastern,MISO_Central,MISO,MISO,MISO
p17049,IL,eastern,MISO_Central,MISO,MISO,MISO
p17051,IL,eastern,MISO_Central,MISO,MISO,MISO
p17053,IL,eastern,MISO_Central,MISO,MISO,MISO
p17055,IL,eastern,MISO_Central,MISO,MISO,MISO
p17057,IL,eastern,MISO_Central,MISO,MISO,MISO
p17059,IL,eastern,MISO_Central,MISO,MISO,MISO
p17061,IL,eastern,MISO_Central,MISO,MISO,MISO
p17063,IL,eastern,PJM_West,PJM,PJM,PJM
p17065,IL,eastern,MISO_Central,MISO,MISO,MISO
p17067,IL,eastern,MISO_Central,MISO,MISO,MISO
p17069,IL,eastern,MISO_Central,MISO,MISO,MISO
p17071,IL,eastern,MISO_Central,MISO,MISO,MISO
p17073,IL,eastern,MISO_Central,MISO,MISO,MISO
p17075,IL,eastern,MISO_Central,MISO,MISO,MISO
p17077,IL,eastern,MISO_Central,MISO,MISO,MISO
p17079,IL,eastern,MISO_Central,MISO,MISO,MISO
p17081,IL,eastern,MISO_Central,MISO,MISO,MISO
p17083,IL,eastern,MISO_Central,MISO,MISO,MISO
p17085,IL,eastern,PJM_West,PJM,PJM,PJM
p17087,IL,eastern,MISO_Central,MISO,MISO,MISO
p17089,IL,eastern,PJM_West,PJM,PJM,PJM
p17091,IL,eastern,PJM_West,PJM,PJM,PJM
p17093,IL,eastern,PJM_West,PJM,PJM,PJM
p17095,IL,eastern,MISO_Central,MISO,MISO,MISO
p17097,IL,eastern,PJM_West,PJM,PJM,PJM
p17099,IL,eastern,PJM_West,PJM,PJM,PJM
p17101,IL,eastern,MISO_Central,MISO,MISO,MISO
p17103,IL,eastern,PJM_West,PJM,PJM,PJM
p17105,IL,eastern,PJM_West,PJM,PJM,PJM
p17107,IL,eastern,MISO_Central,MISO,MISO,MISO
p17109,IL,eastern,MISO_Central,MISO,MISO,MISO
p17111,IL,eastern,PJM_West,PJM,PJM,PJM
p17113,IL,eastern,MISO_Central,MISO,MISO,MISO
p17115,IL,eastern,MISO_Central,MISO,MISO,MISO
p17117,IL,eastern,MISO_Central,MISO,MISO,MISO
p17119,IL,eastern,MISO_Central,MISO,MISO,MISO
p17121,IL,eastern,MISO_Central,MISO,MISO,MISO
p17123,IL,eastern,MISO_Central,MISO,MISO,MISO
p17125,IL,eastern,MISO_Central,MISO,MISO,MISO
p17127,IL,eastern,MISO_Central,MISO,MISO,MISO
p17129,IL,eastern,MISO_Central,MISO,MISO,MISO
p17131,IL,eastern,MISO_Central,MISO,MISO,MISO
p17133,IL,eastern,MISO_Central,MISO,MISO,MISO
p17135,IL,eastern,MISO_Central,MISO,MISO,MISO
p17137,IL,eastern,MISO_Central,MISO,MISO,MISO
p17139,IL,eastern,MISO_Central,MISO,MISO,MISO
p17141,IL,eastern,PJM_West,PJM,PJM,PJM
p17143,IL,eastern,MISO_Central,MISO,MISO,MISO
p17145,IL,eastern,MISO_Central,MISO,MISO,MISO
p17147,IL,eastern,MISO_Central,MISO,MISO,MISO
p17149,IL,eastern,MISO_Central,MISO,MISO,MISO
p17151,IL,eastern,MISO_Central,MISO,MISO,MISO
p17153,IL,eastern,MISO_Central,MISO,MISO,MISO
p17155,IL,eastern,MISO_Central,MISO,MISO,MISO
p17157,IL,eastern,MISO_Central,MISO,MISO,MISO
p17159,IL,eastern,MISO_Central,MISO,MISO,MISO
p17161,IL,eastern,MISO_Central,MISO,MISO,MISO
p17163,IL,eastern,MISO_Central,MISO,MISO,MISO
p17165,IL,eastern,MISO_Central,MISO,MISO,MISO
p17167,IL,eastern,MISO_Central,MISO,MISO,MISO
p17169,IL,eastern,MISO_Central,MISO,MISO,MISO
p17171,IL,eastern,MISO_Central,MISO,MISO,MISO
p17173,IL,eastern,MISO_Central,MISO,MISO,MISO
p17175,IL,eastern,MISO_Central,MISO,MISO,MISO
p17177,IL,eastern,PJM_West,PJM,PJM,PJM
p17179,IL,eastern,MISO_Central,MISO,MISO,MISO
p17181,IL,eastern,MISO_Central,MISO,MISO,MISO
p17183,IL,eastern,MISO_Central,MISO,MISO,MISO
p17185,IL,eastern,MISO_Central,MISO,MISO,MISO
p17187,IL,eastern,MISO_Central,MISO,MISO,MISO
p17189,IL,eastern,MISO_Central,MISO,MISO,MISO
p17191,IL,eastern,MISO_Central,MISO,MISO,MISO
p17193,IL,eastern,MISO_Central,MISO,MISO,MISO
p17195,IL,eastern,PJM_West,PJM,PJM,PJM
p17197,IL,eastern,PJM_West,PJM,PJM,PJM
p17199,IL,eastern,MISO_Central,MISO,MISO,MISO
p17201,IL,eastern,PJM_West,PJM,PJM,PJM
p17203,IL,eastern,MISO_Central,MISO,MISO,MISO
p18001,IN,eastern,MISO_Central,MISO,MISO,MISO
p18003,IN,eastern,MISO_Central,MISO,MISO,MISO
p18005,IN,eastern,MISO_Central,MISO,MISO,MISO
p18007,IN,eastern,MISO_Central,MISO,MISO,MISO
p18009,IN,eastern,MISO_Central,MISO,MISO,MISO
p18011,IN,eastern,MISO_Central,MISO,MISO,MISO
p18013,IN,eastern,MISO_Central,MISO,MISO,MISO
p18015,IN,eastern,MISO_Central,MISO,MISO,MISO
p18017,IN,eastern,MISO_Central,MISO,MISO,MISO
p18019,IN,eastern,MISO_Central,MISO,MISO,MISO
p18021,IN,eastern,MISO_Central,MISO,MISO,MISO
p18023,IN,eastern,MISO_Central,MISO,MISO,MISO
p18025,IN,eastern,MISO_Central,MISO,MISO,MISO
p18027,IN,eastern,MISO_Central,MISO,MISO,MISO
p18029,IN,eastern,MISO_Central,MISO,MISO,MISO
p18031,IN,eastern,MISO_Central,MISO,MISO,MISO
p18033,IN,eastern,MISO_Central,MISO,MISO,MISO
p18035,IN,eastern,MISO_Central,MISO,MISO,MISO
p18037,IN,eastern,MISO_Central,MISO,MISO,MISO
p18039,IN,eastern,MISO_Central,MISO,MISO,MISO
p18041,IN,eastern,MISO_Central,MISO,MISO,MISO
p18043,IN,eastern,MISO_Central,MISO,MISO,MISO
p18045,IN,eastern,MISO_Central,MISO,MISO,MISO
p18047,IN,eastern,MISO_Central,MISO,MISO,MISO
p18049,IN,eastern,MISO_Central,MISO,MISO,MISO
p18051,IN,eastern,MISO_Central,MISO,MISO,MISO
p18053,IN,eastern,MISO_Central,MISO,MISO,MISO
p18055,IN,eastern,MISO_Central,MISO,MISO,MISO
p18057,IN,eastern,MISO_Central,MISO,MISO,MISO
p18059,IN,eastern,MISO_Central,MISO,MISO,MISO
p18061,IN,eastern,MISO_Central,MISO,MISO,MISO
p18063,IN,eastern,MISO_Central,MISO,MISO,MISO
p18065,IN,eastern,MISO_Central,MISO,MISO,MISO
p18067,IN,eastern,MISO_Central,MISO,MISO,MISO
p18069,IN,eastern,MISO_Central,MISO,MISO,MISO
p18071,IN,eastern,MISO_Central,MISO,MISO,MISO
p18073,IN,eastern,MISO_Central,MISO,MISO,MISO
p18075,IN,eastern,MISO_Central,MISO,MISO,MISO
p18077,IN,eastern,MISO_Central,MISO,MISO,MISO
p18079,IN,eastern,MISO_Central,MISO,MISO,MISO
p18081,IN,eastern,MISO_Central,MISO,MISO,MISO
p18083,IN,eastern,MISO_Central,MISO,MISO,MISO
p18085,IN,eastern,MISO_Central,MISO,MISO,MISO
p18087,IN,eastern,MISO_Central,MISO,MISO,MISO
p18089,IN,eastern,MISO_Central,MISO,MISO,MISO
p18091,IN,eastern,MISO_Central,MISO,MISO,MISO
p18093,IN,eastern,MISO_Central,MISO,MISO,MISO
p18095,IN,eastern,MISO_Central,MISO,MISO,MISO
p18097,IN,eastern,MISO_Central,MISO,MISO,MISO
p18099,IN,eastern,MISO_Central,MISO,MISO,MISO
p18101,IN,eastern,MISO_Central,MISO,MISO,MISO
p18103,IN,eastern,MISO_Central,MISO,MISO,MISO
p18105,IN,eastern,MISO_Central,MISO,MISO,MISO
p18107,IN,eastern,MISO_Central,MISO,MISO,MISO
p18109,IN,eastern,MISO_Central,MISO,MISO,MISO
p18111,IN,eastern,MISO_Central,MISO,MISO,MISO
p18113,IN,eastern,MISO_Central,MISO,MISO,MISO
p18115,IN,eastern,MISO_Central,MISO,MISO,MISO
p18117,IN,eastern,MISO_Central,MISO,MISO,MISO
p18119,IN,eastern,MISO_Central,MISO,MISO,MISO
p18121,IN,eastern,MISO_Central,MISO,MISO,MISO
p18123,IN,eastern,MISO_Central,MISO,MISO,MISO
p18125,IN,eastern,MISO_Central,MISO,MISO,MISO
p18127,IN,eastern,MISO_Central,MISO,MISO,MISO
p18129,IN,eastern,MISO_Central,MISO,MISO,MISO
p18131,IN,eastern,MISO_Central,MISO,MISO,MISO
p18133,IN,eastern,MISO_Central,MISO,MISO,MISO
p18135,IN,eastern,MISO_Central,MISO,MISO,MISO
p18137,IN,eastern,MISO_Central,MISO,MISO,MISO
p18139,IN,eastern,MISO_Central,MISO,MISO,MISO
p18141,IN,eastern,MISO_Central,MISO,MISO,MISO
p18143,IN,eastern,MISO_Central,MISO,MISO,MISO
p18145,IN,eastern,MISO_Central,MISO,MISO,MISO
p18147,IN,eastern,MISO_Central,MISO,MISO,MISO
p18149,IN,eastern,MISO_Central,MISO,MISO,MISO
p18151,IN,eastern,MISO_Central,MISO,MISO,MISO
p18153,IN,eastern,MISO_Central,MISO,MISO,MISO
p18155,IN,eastern,MISO_Central,MISO,MISO,MISO
p18157,IN,eastern,MISO_Central,MISO,MISO,MISO
p18159,IN,eastern,MISO_Central,MISO,MISO,MISO
p18161,IN,eastern,MISO_Central,MISO,MISO,MISO
p18163,IN,eastern,MISO_Central,MISO,MISO,MISO
p18165,IN,eastern,MISO_Central,MISO,MISO,MISO
p18167,IN,eastern,MISO_Central,MISO,MISO,MISO
p18169,IN,eastern,MISO_Central,MISO,MISO,MISO
p18171,IN,eastern,MISO_Central,MISO,MISO,MISO
p18173,IN,eastern,MISO_Central,MISO,MISO,MISO
p18175,IN,eastern,MISO_Central,MISO,MISO,MISO
p18177,IN,eastern,MISO_Central,MISO,MISO,MISO
p18179,IN,eastern,MISO_Central,MISO,MISO,MISO
p18181,IN,eastern,MISO_Central,MISO,MISO,MISO
p18183,IN,eastern,MISO_Central,MISO,MISO,MISO
p19001,IA,eastern,MISO_North,MISO,MISO,MISO
p19003,IA,eastern,MISO_North,MISO,MISO,MISO
p19005,IA,eastern,MISO_North,MISO,MISO,MISO
p19007,IA,eastern,MISO_North,MISO,MISO,MISO
p19009,IA,eastern,MISO_North,MISO,MISO,MISO
p19011,IA,eastern,MISO_North,MISO,MISO,MISO
p19013,IA,eastern,MISO_North,MISO,MISO,MISO
p19015,IA,eastern,MISO_North,MISO,MISO,MISO
p19017,IA,eastern,MISO_North,MISO,MISO,MISO
p19019,IA,eastern,MISO_North,MISO,MISO,MISO
p19021,IA,eastern,MISO_North,MISO,MISO,MISO
p19023,IA,eastern,MISO_North,MISO,MISO,MISO
p19025,IA,eastern,MISO_North,MISO,MISO,MISO
p19027,IA,eastern,MISO_North,MISO,MISO,MISO
p19029,IA,eastern,MISO_North,MISO,MISO,MISO
p19031,IA,eastern,MISO_North,MISO,MISO,MISO
p19033,IA,eastern,MISO_North,MISO,MISO,MISO
p19035,IA,eastern,MISO_North,MISO,MISO,MISO
p19037,IA,eastern,MISO_North,MISO,MISO,MISO
p19039,IA,eastern,MISO_North,MISO,MISO,MISO
p19041,IA,eastern,MISO_North,MISO,MISO,MISO
p19043,IA,eastern,MISO_North,MISO,MISO,MISO
p19045,IA,eastern,MISO_North,MISO,MISO,MISO
p19047,IA,eastern,MISO_North,MISO,MISO,MISO
p19049,IA,eastern,MISO_North,MISO,MISO,MISO
p19051,IA,eastern,MISO_North,MISO,MISO,MISO
p19053,IA,eastern,MISO_North,MISO,MISO,MISO
p19055,IA,eastern,MISO_North,MISO,MISO,MISO
p19057,IA,eastern,MISO_North,MISO,MISO,MISO
p19059,IA,eastern,MISO_North,MISO,MISO,MISO
p19061,IA,eastern,MISO_North,MISO,MISO,MISO
p19063,IA,eastern,MISO_North,MISO,MISO,MISO
p19065,IA,eastern,MISO_North,MISO,MISO,MISO
p19067,IA,eastern,MISO_North,MISO,MISO,MISO
p19069,IA,eastern,MISO_North,MISO,MISO,MISO
p19071,IA,eastern,MISO_North,MISO,MISO,MISO
p19073,IA,eastern,MISO_North,MISO,MISO,MISO
p19075,IA,eastern,MISO_North,MISO,MISO,MISO
p19077,IA,eastern,MISO_North,MISO,MISO,MISO
p19079,IA,eastern,MISO_North,MISO,MISO,MISO
p19081,IA,eastern,MISO_North,MISO,MISO,MISO
p19083,IA,eastern,MISO_North,MISO,MISO,MISO
p19085,IA,eastern,MISO_North,MISO,MISO,MISO
p19087,IA,eastern,MISO_North,MISO,MISO,MISO
p19089,IA,eastern,MISO_North,MISO,MISO,MISO
p19091,IA,eastern,MISO_North,MISO,MISO,MISO
p19093,IA,eastern,MISO_North,MISO,MISO,MISO
p19095,IA,eastern,MISO_North,MISO,MISO,MISO
p19097,IA,eastern,MISO_North,MISO,MISO,MISO
p19099,IA,eastern,MISO_North,MISO,MISO,MISO
p19101,IA,eastern,MISO_North,MISO,MISO,MISO
p19103,IA,eastern,MISO_North,MISO,MISO,MISO
p19105,IA,eastern,MISO_North,MISO,MISO,MISO
p19107,IA,eastern,MISO_North,MISO,MISO,MISO
p19109,IA,eastern,MISO_North,MISO,MISO,MISO
p19111,IA,eastern,MISO_North,MISO,MISO,MISO
p19113,IA,eastern,MISO_North,MISO,MISO,MISO
p19115,IA,eastern,MISO_North,MISO,MISO,MISO
p19117,IA,eastern,MISO_North,MISO,MISO,MISO
p19119,IA,eastern,MISO_North,MISO,MISO,MISO
p19121,IA,eastern,MISO_North,MISO,MISO,MISO
p19123,IA,eastern,MISO_North,MISO,MISO,MISO
p19125,IA,eastern,MISO_North,MISO,MISO,MISO
p19127,IA,eastern,MISO_North,MISO,MISO,MISO
p19129,IA,eastern,MISO_North,MISO,MISO,MISO
p19131,IA,eastern,MISO_North,MISO,MISO,MISO
p19133,IA,eastern,MISO_North,MISO,MISO,MISO
p19135,IA,eastern,MISO_North,MISO,MISO,MISO
p19137,IA,eastern,MISO_North,MISO,MISO,MISO
p19139,IA,eastern,MISO_North,MISO,MISO,MISO
p19141,IA,eastern,MISO_North,MISO,MISO,MISO
p19143,IA,eastern,MISO_North,MISO,MISO,MISO
p19145,IA,eastern,MISO_North,MISO,MISO,MISO
p19147,IA,eastern,MISO_North,MISO,MISO,MISO
p19149,IA,eastern,MISO_North,MISO,MISO,MISO
p19151,IA,eastern,MISO_North,MISO,MISO,MISO
p19153,IA,eastern,MISO_North,MISO,MISO,MISO
p19155,IA,eastern,MISO_North,MISO,MISO,MISO
p19157,IA,eastern,MISO_North,MISO,MISO,MISO
p19159,IA,eastern,MISO_North,MISO,MISO,MISO
p19161,IA,eastern,MISO_North,MISO,MISO,MISO
p19163,IA,eastern,MISO_North,MISO,MISO,MISO
p19165,IA,eastern,MISO_North,MISO,MISO,MISO
p19167,IA,eastern,MISO_North,MISO,MISO,MISO
p19169,IA,eastern,MISO_North,MISO,MISO,MISO
p19171,IA,eastern,MISO_North,MISO,MISO,MISO
p19173,IA,eastern,MISO_North,MISO,MISO,MISO
p19175,IA,eastern,MISO_North,MISO,MISO,MISO
p19177,IA,eastern,MISO_North,MISO,MISO,MISO
p19179,IA,eastern,MISO_North,MISO,MISO,MISO
p19181,IA,eastern,MISO_North,MISO,MISO,MISO
p19183,IA,eastern,MISO_North,MISO,MISO,MISO
p19185,IA,eastern,MISO_North,MISO,MISO,MISO
p19187,IA,eastern,MISO_North,MISO,MISO,MISO
p19189,IA,eastern,MISO_North,MISO,MISO,MISO
p19191,IA,eastern,MISO_North,MISO,MISO,MISO
p19193,IA,eastern,MISO_North,MISO,MISO,MISO
p19195,IA,eastern,MISO_North,MISO,MISO,MISO
p19197,IA,eastern,MISO_North,MISO,MISO,MISO
p21001,KY,eastern,PJM_East,PJM,PJM,PJM
p21003,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p21005,KY,eastern,PJM_East,PJM,PJM,PJM
p21007,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p21009,KY,eastern,PJM_East,PJM,PJM,PJM
p21011,KY,eastern,PJM_East,PJM,PJM,PJM
p21013,KY,eastern,PJM_East,PJM,PJM,PJM
p21015,KY,eastern,PJM_East,PJM,PJM,PJM
p21017,KY,eastern,PJM_East,PJM,PJM,PJM
p21019,KY,eastern,PJM_East,PJM,PJM,PJM
p21021,KY,eastern,PJM_East,PJM,PJM,PJM
p21023,KY,eastern,PJM_East,PJM,PJM,PJM
p21025,KY,eastern,PJM_East,PJM,PJM,PJM
p21027,KY,eastern,MISO_Central,MISO,MISO,MISO
p21029,KY,eastern,PJM_East,PJM,PJM,PJM
p21031,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p21033,KY,eastern,MISO_Central,MISO,MISO,MISO
p21035,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p21037,KY,eastern,PJM_East,PJM,PJM,PJM
p21039,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p21041,KY,eastern,PJM_East,PJM,PJM,PJM
p21043,KY,eastern,PJM_East,PJM,PJM,PJM
p21045,KY,eastern,PJM_East,PJM,PJM,PJM
p21047,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p21049,KY,eastern,PJM_East,PJM,PJM,PJM
p21051,KY,eastern,PJM_East,PJM,PJM,PJM
p21053,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p21055,KY,eastern,MISO_Central,MISO,MISO,MISO
p21057,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p21059,KY,eastern,MISO_Central,MISO,MISO,MISO
p21061,KY,eastern,PJM_East,PJM,PJM,PJM
p21063,KY,eastern,PJM_East,PJM,PJM,PJM
p21065,KY,eastern,PJM_East,PJM,PJM,PJM
p21067,KY,eastern,PJM_East,PJM,PJM,PJM
p21069,KY,eastern,PJM_East,PJM,PJM,PJM
p21071,KY,eastern,PJM_East,PJM,PJM,PJM
p21073,KY,eastern,PJM_East,PJM,PJM,PJM
p21075,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p21077,KY,eastern,PJM_East,PJM,PJM,PJM
p21079,KY,eastern,PJM_East,PJM,PJM,PJM
p21081,KY,eastern,PJM_East,PJM,PJM,PJM
p21083,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p21085,KY,eastern,MISO_Central,MISO,MISO,MISO
p21087,KY,eastern,PJM_East,PJM,PJM,PJM
p21089,KY,eastern,PJM_East,PJM,PJM,PJM
p21091,KY,eastern,MISO_Central,MISO,MISO,MISO
p21093,KY,eastern,PJM_East,PJM,PJM,PJM
p21095,KY,eastern,PJM_East,PJM,PJM,PJM
p21097,KY,eastern,PJM_East,PJM,PJM,PJM
p21099,KY,eastern,PJM_East,PJM,PJM,PJM
p21101,KY,eastern,MISO_Central,MISO,MISO,MISO
p21103,KY,eastern,PJM_East,PJM,PJM,PJM
p21105,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p21107,KY,eastern,MISO_Central,MISO,MISO,MISO
p21109,KY,eastern,PJM_East,PJM,PJM,PJM
p21111,KY,eastern,PJM_East,PJM,PJM,PJM
p21113,KY,eastern,PJM_East,PJM,PJM,PJM
p21115,KY,eastern,PJM_East,PJM,PJM,PJM
p21117,KY,eastern,PJM_East,PJM,PJM,PJM
p21119,KY,eastern,PJM_East,PJM,PJM,PJM
p21121,KY,eastern,PJM_East,PJM,PJM,PJM
p21123,KY,eastern,PJM_East,PJM,PJM,PJM
