r,st,transreg,transgrp,nercr,interconnect,hurdlereg
MN_N,MN,MISO,MISO_North,MISO,eastern,MISO
MN_S,MN,MISO,MISO_North,MISO,eastern,MISO
WI_W,WI,MISO,MISO_North,MISO,eastern,MISO
WI_E,WI,MISO,MISO_North,MISO,eastern,MISO
IA,IA,MISO,MISO_Central,MISO,eastern,MISO
MO_SPP,MO,SPP,SPP_South,SPP,eastern,SPP
MO_MISO,MO,MISO,MISO_Central,MISO,eastern,MISO
MO_SE,MO,SERTP,SERTP,SERC_C,eastern,Associated_Electric_Coop_Inc
AR_SPP,AR,SPP,SPP_South,SPP,eastern,SPP
AR_MISO,AR,MISO,MISO_South,MISO,eastern,MISO
LA,LA,MISO,MISO_South,MISO,eastern,MISO
MI_UP,MI,MISO,MISO_North,MISO,eastern,MISO
MI_LP,MI,MISO,MISO_North,MISO,eastern,MISO
MI_PJM,MI,PJM,PJM_West,PJM,eastern,PJM
IL_PJM,IL,PJM,PJM_West,PJM,eastern,PJM
IL_MISO,IL,MISO,MISO_Central,MISO,eastern,MISO
IN_PJM,IN,PJM,PJM_West,PJM,eastern,PJM
IN_MISO,IN,MISO,MISO_Central,MISO,eastern,MISO
KY_PJM,KY,PJM,PJM_East,PJM,eastern,PJM
KY_MISO,KY,MISO,MISO_Central,MISO,eastern,Tennessee_Valley_Authority
MS_MISO,MS,MISO,MISO_South,MISO,eastern,MISO
MS_SE,MS,SERTP,SERTP,SERC_C,eastern,Tennessee_Valley_Authority
TN,TN,SERTP,SERTP,SERC_C,eastern,Tennessee_Valley_Authority
AL,AL,SERTP,SERTP,SERC_SE,eastern,Southern_Co_Services_Inc
GA_N,GA,SERTP,SERTP,SERC_SE,eastern,Southern_Co_Services_Inc
GA_S,GA,SERTP,SERTP,SERC_SE,eastern,Southern_Co_Services_Inc
SC,SC,SERTP,SERTP,SERC_E,eastern,South_Carolina_Electric_and_Gas_Co
NC_SE,NC,SERTP,SERTP,SERC_E,eastern,Duke_Energy_Progress_East
NC_PJM,NC,PJM,PJM_East,SERC_E,eastern,PJM
FL_N,FL,FRCC,FRCC,SERC_F,eastern,Seminole_Electric_Coop_Inc
FL_S,FL,FRCC,FRCC,SERC_F,eastern,Seminole_Electric_Coop_Inc
FL_SE,FL,FRCC,FRCC,SERC_F,eastern,Florida_Power_and_Light
OH_N,OH,PJM,PJM_East,PJM,eastern,PJM
OH_S,OH,PJM,PJM_East,PJM,eastern,PJM
WV,WV,PJM,PJM_East,PJM,eastern,PJM
VA_W,VA,PJM,PJM_East,PJM,eastern,PJM
VA_E,VA,PJM,PJM_East,PJM,eastern,PJM
PA_W,PA,PJM,PJM_East,PJM,eastern,PJM
PA_E,PA,PJM,PJM_East,PJM,eastern,PJM
MD,MD,PJM,PJM_East,PJM,eastern,PJM
DE,DE,PJM,PJM_East,PJM,eastern,PJM
NJ,NJ,PJM,PJM_East,PJM,eastern,PJM
NY_W,NY,NYISO,NYISO,NPCC_NY,eastern,NYISO
NY_E,NY,NYISO,NYISO,NPCC_NY,eastern,NYISO
NY_NYC,NY,NYISO,NYISO,NPCC_NY,eastern,NYISO
NY_LI,NY,NYISO,NYISO,NPCC_NY,eastern,NYISO
VT,VT,ISONE,ISONE,NPCC_NE,eastern,ISONE
NH,NH,ISONE,ISONE,NPCC_NE,eastern,ISONE
MA,MA,ISONE,ISONE,NPCC_NE,eastern,ISONE
CT,CT,ISONE,ISONE,NPCC_NE,eastern,ISONE
RI,RI,ISONE,ISONE,NPCC_NE,eastern,ISONE
ME,ME,ISONE,ISONE,NPCC_NE,eastern,ISONE
